classic_metric,mapped_metric,confidence,score,method,reason,candidate_count,candidates,notes
"(Web) Session count without Session Replay split by application. The value billed for each session is the session duration measured in hours. So a 3-hour session results in a single data-point value of `3`. If two sessions of the same application end during the same minute, then the values are added together. To improve performance and avoid exceeding query limits when working with longer timeframes, use the total metric.",,none,0,unmapped,No current Gen3 candidate found,0,[],
"(Web) Session count without Session Replay. The value billed for each session is the session duration measured in hours. So a 3-hour session results in a single data-point value of `3`. If two sessions end during the same minute, then the values are added together. Use this total metric to query longer timeframes without losing precision or performance. To view the application that consume this usage, refer to the usage_by_app metric.",,none,0,unmapped,No current Gen3 candidate found,0,[],
"(Web) User action and session properties count by application. The billed value is calculated based on the number of sessions reported in builtin:billing.real_user_monitoring.web.session.usage_by_app + builtin:billing.real_user_monitoring.web.session_with_replay.usage_by_app . plus the number of configured properties that exceed the included number of properties (free of charge) offered for a given application. Data points are only written for billed sessions. If the value is 0, you have available metric data points. This trailing metric is reported hourly for the previous hour. Metric values are reported with up to a one-hour delay. To improve performance and avoid exceeding query limits when working with longer timeframes, use the total metric.",,none,0,unmapped,No current Gen3 candidate found,0,[],
"(Web) User action and session properties count. For details on how usage is calculated, refer to the documentation or builtin:billing.real_user_monitoring.web.property.usage_by_application . Use this total metric to query longer timeframes without losing precision or performance.",,none,0,unmapped,No current Gen3 candidate found,0,[],
*Deprecated* The total time an appender waits for space allocation.,,none,0,unmapped,No current Gen3 candidate found,0,[],
.NET % time in GC,,none,0,unmapped,No current Gen3 candidate found,0,[],
.NET % time in JIT,,none,0,unmapped,No current Gen3 candidate found,0,[],
.NET % time in Just in Time compilation,,none,0,unmapped,No current Gen3 candidate found,0,[],
.NET average number of active threads,,none,0,unmapped,No current Gen3 candidate found,0,[],
.NET garbage collection (# Gen 0),,none,0,unmapped,No current Gen3 candidate found,0,[],
.NET garbage collection (# Gen 1),,none,0,unmapped,No current Gen3 candidate found,0,[],
.NET garbage collection (# Gen 2),,none,0,unmapped,No current Gen3 candidate found,0,[],
.NET managed thread pool active io completion threads,,none,0,unmapped,No current Gen3 candidate found,0,[],
.NET managed thread pool active worker threads,,low,66,pattern,"Pattern match from fetch_metric_series.csv; shared tokens: active, threads",1,"[{""sort_index"": null, ""score"": 66, ""gen3_metric"": ""dt.runtime.websphere.threadpool.active_threads"", ""method"": ""pattern"", ""reason"": ""Pattern match from fetch_metric_series.csv; shared tokens: active, threads""}]",Low-confidence candidate retained for review but not selected as mapped_metric
.NET managed thread pool queued work items,,low,79,pattern,"Pattern match from fetch_metric_series.csv; shared tokens: items, queued, work",2,"[{""sort_index"": null, ""score"": 79, ""gen3_metric"": ""dt.runtime.clr.threadpool.queued_work_items"", ""method"": ""pattern"", ""reason"": ""Pattern match from fetch_metric_series.csv; shared tokens: items, queued, work""}, {""sort_index"": null, ""score"": 66, ""gen3_metric"": ""dt.sfm.active_gate.thread_pool.queue_size"", ""method"": ""pattern"", ""reason"": ""Pattern match from fetch_metric_series.csv; shared tokens: pool, thread""}]",Low-confidence candidate retained for review but not selected as mapped_metric
.NET memory consumption (Large Object Heap),,none,0,unmapped,No current Gen3 candidate found,0,[],
.NET memory consumption (heap size Gen 0),,none,0,unmapped,No current Gen3 candidate found,0,[],
.NET memory consumption (heap size Gen 1),,none,0,unmapped,No current Gen3 candidate found,0,[],
.NET memory consumption (heap size Gen 2),,none,0,unmapped,No current Gen3 candidate found,0,[],
".NET memory consumption for objects within Large Object Heap, https://dt-url.net/es238z7",,none,0,unmapped,No current Gen3 candidate found,0,[],
".NET memory consumption for objects within heap Gen0, https://dt-url.net/i1038bq",,none,0,unmapped,No current Gen3 candidate found,0,[],
".NET memory consumption for objects within heap Gen1, https://dt-url.net/i1038bq",,none,0,unmapped,No current Gen3 candidate found,0,[],
".NET memory consumption for objects within heap Gen2, https://dt-url.net/i1038bq",,none,0,unmapped,No current Gen3 candidate found,0,[],
1.0,,none,0,unmapped,No current Gen3 candidate found,0,[],
2026-06-26T14:24:55+00:00,,none,0,unmapped,No current Gen3 candidate found,0,[],
"A state metric containing the details of a DNS Profile. The value is always 1, use the dimensions to understand the details.",,none,0,unmapped,No current Gen3 candidate found,0,[],
A state metric representing details of the connected Oracle database.,,none,0,unmapped,No current Gen3 candidate found,0,[],
A state metric representing the details of a Backup Job.,,none,0,unmapped,No current Gen3 candidate found,0,[],
A state metric representing the details of the connected Oracle instance.,,none,0,unmapped,No current Gen3 candidate found,0,[],
ActiveGate java process CPU usage.,,low,72,pattern,"Pattern match from fetch_metric_series.csv; shared tokens: cpu, process, usage",3,"[{""sort_index"": null, ""score"": 72, ""gen3_metric"": ""dt.process.cpu.usage"", ""method"": ""pattern"", ""reason"": ""Pattern match from fetch_metric_series.csv; shared tokens: cpu, process, usage""}, {""sort_index"": null, ""score"": 71, ""gen3_metric"": ""dt.sfm.active_gate.jvm.cpu_usage"", ""method"": ""pattern"", ""reason"": ""Pattern match from fetch_metric_series.csv; shared tokens: cpu, usage""}, {""sort_index"": null, ""score"": 65, ""gen3_metric"": ""dt.sfm.active_gate.system.cpu_usage"", ""method"": ""pattern"", ""reason"": ""Pattern match from fetch_metric_series.csv; shared tokens: cpu, usage""}]",Low-confidence candidate retained for review but not selected as mapped_metric
ActiveGate java process heap memory size.,,low,71,pattern,"Pattern match from fetch_metric_series.csv; shared tokens: heap, memory",1,"[{""sort_index"": null, ""score"": 71, ""gen3_metric"": ""dt.sfm.active_gate.jvm.heap_memory_used"", ""method"": ""pattern"", ""reason"": ""Pattern match from fetch_metric_series.csv; shared tokens: heap, memory""}]",Low-confidence candidate retained for review but not selected as mapped_metric
ActiveGate java process heap memory used. Compare with heap memory size reported by `dsfm:active_gate.jvm.heap_memory_available` metric.,,none,0,unmapped,No current Gen3 candidate found,0,[],
ActiveGate java process major garbage collection time.,,low,74,pattern,"Pattern match from fetch_metric_series.csv; shared tokens: collection, major, time",1,"[{""sort_index"": null, ""score"": 74, ""gen3_metric"": ""dt.sfm.active_gate.jvm.gc.major_collection_time"", ""method"": ""pattern"", ""reason"": ""Pattern match from fetch_metric_series.csv; shared tokens: collection, major, time""}]",Low-confidence candidate retained for review but not selected as mapped_metric
Actual speed setting for this interface - actspeed.,,none,0,unmapped,No current Gen3 candidate found,0,[],
Age in seconds of the oldest message on the queue.,,none,0,unmapped,No current Gen3 candidate found,0,[],
Amount of disk space (in bytes) used by fast recovery area files created in current and all previous fast recovery areas. Changing fast recovery areas does not reset SPACE_USED to 0.,,none,0,unmapped,No current Gen3 candidate found,0,[],
Amount of free space available for user in file system. On Linux and AIX it is free space available for unprivileged user. It doesn't contain part of free space reserved for the root.,,none,0,unmapped,No current Gen3 candidate found,0,[],
Amount of free space available for user in file system. This is free space available for unprivileged users and does not contain free space reserverd for root.,,none,0,unmapped,No current Gen3 candidate found,0,[],
"Amount of space occupied, in megabytes, by log extents available to be reused.",,none,0,unmapped,No current Gen3 candidate found,0,[],
"Amount of space occupied, in megabytes, by log extents no longer required for restart or media recovery, but waiting to be archived.",,none,0,unmapped,No current Gen3 candidate found,0,[],
Amount of time that a message spent on the queue over a long period.,,none,0,unmapped,No current Gen3 candidate found,0,[],
Amount of time that a message spent on the queue over a short period.,,none,0,unmapped,No current Gen3 candidate found,0,[],
"Amount of time, in microseconds, to send an end of batch request to the remote end of the channel and receive a response over a longer period.",,none,0,unmapped,No current Gen3 candidate found,0,[],
"Amount of time, in microseconds, to send an end of batch request to the remote end of the channel and receive a response over a short period.",,none,0,unmapped,No current Gen3 candidate found,0,[],
"Amount of total swap memory or total swap space (also known as paging, which is the on-disk component of the virtual memory system) for use.",,none,0,unmapped,No current Gen3 candidate found,0,[],
Amount of used inodes in the file system.,,none,0,unmapped,No current Gen3 candidate found,0,[],
Amount of used space in the file system.,,none,0,unmapped,No current Gen3 candidate found,0,[],
"An approximation of the percent of CPU time used by GC activities over the last lookback period or since monitoring began, whichever is shorter, in the range [0..1]",,none,0,unmapped,No current Gen3 candidate found,0,[],
"An approximation to the total amount of memory currently available for future allocated objects, measured in bytes, https://dt-url.net/2mm34yx",,none,0,unmapped,No current Gen3 candidate found,0,[],
"Application wait time (in microseconds), expressed as a rate per second which aggregates the value at schema level.",,none,0,unmapped,No current Gen3 candidate found,0,[],
Availability rate - excl. maintenance windows (by location) [HTTP monitor],,none,0,unmapped,No current Gen3 candidate found,0,[],
Availability rate - excl. maintenance windows (by location) [browser monitor],,none,0,unmapped,No current Gen3 candidate found,0,[],
Availability rate - excl. maintenance windows (by location) [third-party monitor],,none,0,unmapped,No current Gen3 candidate found,0,[],
Available space in /flash partition of the hard disk.,,none,0,unmapped,No current Gen3 candidate found,0,[],
Available space in /var partition of the hard disk.,,none,0,unmapped,No current Gen3 candidate found,0,[],
"Average CPU time spent on other tasks: servicing interrupt requests (IRQ), running virtual machines under the control of the host's kernel (meaning the host is a hypervisor for VMs). It's available only for Linux hosts",,none,0,unmapped,No current Gen3 candidate found,0,[],
"Average CPU time, when a virtual machine waits to get CPU cycles from the hypervisor. In a virtual environment, CPU cycles are shared across virtual machines on the hypervisor server. If your virtualized host displays a high CPU steal, it means CPU cycles are being taken away from your virtual machine to serve other purposes. It may indicate an overloaded hypervisor. It's available only for Linux hosts",,none,0,unmapped,No current Gen3 candidate found,0,[],
Average CPU utilization percentage for all packet engines excluding management PE.,,none,0,unmapped,No current Gen3 candidate found,0,[],
Average Management CPU utilization percentage.,,none,0,unmapped,No current Gen3 candidate found,0,[],
Average TTFB between the NetScaler appliance and the server.,,none,0,unmapped,No current Gen3 candidate found,0,[],
Average number of active Node.js worker threads,,none,0,unmapped,No current Gen3 candidate found,0,[],
Average time of DNS query. Calculated with DNS query time sum divided by number of DNS queries for each host and DNS server pair.,,none,0,unmapped,No current Gen3 candidate found,0,[],
Average time of read from file system. It shows average disk latency during read.,,none,0,unmapped,No current Gen3 candidate found,0,[],
Average time of read operation. Shows average disk latency during read.,,none,0,unmapped,No current Gen3 candidate found,0,[],
Average time of read operation. Shows average partition latency during read.,,none,0,unmapped,No current Gen3 candidate found,0,[],
Average time of read operation. Shows average volume latency during read.,,none,0,unmapped,No current Gen3 candidate found,0,[],
Average time of write operation. Shows average disk latency during write.,,none,0,unmapped,No current Gen3 candidate found,0,[],
Average time of write operation. Shows average partition latency during write.,,none,0,unmapped,No current Gen3 candidate found,0,[],
Average time of write operation. Shows average volume latency during write.,,none,0,unmapped,No current Gen3 candidate found,0,[],
Average time of write to file system. It shows average disk latency during write.,,none,0,unmapped,No current Gen3 candidate found,0,[],
Bandwidth saving from HTTP compression expressed as percentage.,,none,0,unmapped,No current Gen3 candidate found,0,[],
Bandwidth saving from TCP compression expressed as percentage.,,none,0,unmapped,No current Gen3 candidate found,0,[],
Boolean value indicating whether the monitoring is available or not.,,none,0,unmapped,No current Gen3 candidate found,0,[],
"Business events Ingest & Process usage, tracked as bytes ingested within the hour. This trailing metric is reported hourly for the previous hour. Metric values are reported with up to a one-hour delay. [Deprecated] This metric is replaced by billing usage events.",,none,0,unmapped,No current Gen3 candidate found,0,[],
"Business events Query usage, tracked as bytes read within the hour. This trailing metric is reported hourly for the previous hour. Metric values are reported with up to a one-hour delay. [Deprecated] This metric is replaced by billing usage events.",,none,0,unmapped,No current Gen3 candidate found,0,[],
"Business events Retain usage, tracked as total storage used within the hour, in bytes. This trailing metric is reported hourly for the previous hour. Metric values are reported with up to a one-hour delay. [Deprecated] This metric is replaced by billing usage events.",,none,0,unmapped,No current Gen3 candidate found,0,[],
Bytes Total/sec is the sum of Bytes Sent/sec and Bytes Received/sec. This is the total rate of bytes transferred by the Web service.,,none,0,unmapped,No current Gen3 candidate found,0,[],
Bytes/second read off all sockets.,,none,0,unmapped,No current Gen3 candidate found,0,[],
CF: 502 responses,,none,0,unmapped,No current Gen3 candidate found,0,[],
CF: 5xx responses,,none,0,unmapped,No current Gen3 candidate found,0,[],
CF: Response latency,,none,0,unmapped,No current Gen3 candidate found,0,[],
CF: Total requests,,none,0,unmapped,No current Gen3 candidate found,0,[],
CPU 0 temperature. 9800 and 9960 platforms display internal chip temperature. This is a critical counter.,,none,0,unmapped,No current Gen3 candidate found,0,[],
"CPU 1 temperature. 9800 and 9960 platforms display internal chip temperature. 7000, 9010 and 10010 platforms display CPU 0 temperature. This is a critical counter.",,none,0,unmapped,No current Gen3 candidate found,0,[],
CPU Fan 0 speed. Acceptable range is 3000 through 6000 RPM. This is a critical counter.,,none,0,unmapped,No current Gen3 candidate found,0,[],
CPU Fan 1 speed. Acceptable range is 3000 through 6000 RPM. 7000 platform displays speed of CPU fan 0. This is a critical counter.,,none,0,unmapped,No current Gen3 candidate found,0,[],
CPU core 0 voltage. Acceptable range is 1.080 through 1.650 volts.,,none,0,unmapped,No current Gen3 candidate found,0,[],
"CPU core 1 voltage. Acceptable range is 1.080 through 1.650 volts. If CPU 1 is not connected to the health monitoring chip, display shows voltage of CPU 0.",,none,0,unmapped,No current Gen3 candidate found,0,[],
CPU resource limit per container in millicores.,,none,0,unmapped,No current Gen3 candidate found,0,[],
CPU system usage per container in millicores.,,none,0,unmapped,No current Gen3 candidate found,0,[],
CPU throttling per container in millicores.,,none,0,unmapped,No current Gen3 candidate found,0,[],
"CPU time (in microseconds) used by a cursor for parsing, executing, and fetching. This is expressed as a rate per second which aggregates the value at schema level.",,none,0,unmapped,No current Gen3 candidate found,0,[],
"CPU time consumed by a key request within a particular request type. Request types classify requests, e.g. Resource requests for static assets like CSS or JS files. To learn how Dynatrace calculates service timings, see [Service analysis timings](https://dt-url.net/service-timings).",,none,0,unmapped,No current Gen3 candidate found,0,[],
"CPU time consumed by a particular request. To learn how Dynatrace calculates service timings, see [Service analysis timings](https://dt-url.net/service-timings).",,none,0,unmapped,No current Gen3 candidate found,0,[],
"CPU time consumed by a particular service. To learn how Dynatrace calculates service timings, see [Service analysis timings](https://dt-url.net/service-timings).",,none,0,unmapped,No current Gen3 candidate found,0,[],
"CPU time consumed by a request type. Request types classify requests, e.g. Resource requests for static assets like CSS or JS files. To learn how Dynatrace calculates service timings, see [Service analysis timings](https://dt-url.net/service-timings).",,none,0,unmapped,No current Gen3 candidate found,0,[],
"CPU time for a given key request.  This metric is written for each key request. To learn more about key requests, see [Monitor key request](https://dt-url.net/key-request).",,none,0,unmapped,No current Gen3 candidate found,0,[],
CPU user usage per container in millicores.,,none,0,unmapped,No current Gen3 candidate found,0,[],
"Capacity Entitlement is the number of virtual processors assigned to the AIX partition. It's measured in fractions of processor equal to 0.1 or 0.01. For more information about entitlement, see [Assigning the appropriate processor entitled capacity](https://dt-url.net/3n234vz) in official IBM documentation.",,none,0,unmapped,No current Gen3 candidate found,0,[],
"Cluster wait time (in microseconds), expressed as a rate per second which aggregates the value at schema level.",,none,0,unmapped,No current Gen3 candidate found,0,[],
ClusterStatus.green Minimum (by ClientId),,none,0,unmapped,No current Gen3 candidate found,0,[],
ClusterStatus.red Maximum (by ClientId),,none,0,unmapped,No current Gen3 candidate found,0,[],
ClusterStatus.yellow Maximum (by ClientId),,none,0,unmapped,No current Gen3 candidate found,0,[],
Compression ratio.,,none,0,unmapped,No current Gen3 candidate found,0,[],
"Concurrency wait time (in microseconds), expressed as a rate per second which aggregates the value at schema level.",,none,0,unmapped,No current Gen3 candidate found,0,[],
"Containers: CPU limit, mCores",,low,79,pattern,"Pattern match from fetch_metric_series.csv; shared tokens: containers, cpu",4,"[{""sort_index"": null, ""score"": 79, ""gen3_metric"": ""dt.containers.cpu.logical_cores"", ""method"": ""pattern"", ""reason"": ""Pattern match from fetch_metric_series.csv; shared tokens: containers, cpu""}, {""sort_index"": null, ""score"": 71, ""gen3_metric"": ""dt.containers.cpu.shares"", ""method"": ""pattern"", ""reason"": ""Pattern match from fetch_metric_series.csv; shared tokens: containers, cpu""}, {""sort_index"": null, ""score"": 68, ""gen3_metric"": ""dt.containers.memory.limit_bytes"", ""method"": ""pattern"", ""reason"": ""Pattern match from fetch_metric_series.csv; shared tokens: containers, limit""}, {""sort_index"": null, ""score"": 64, ""gen3_metric"": ""dt.containers.cpu.throttled_time"", ""method"": ""pattern"", ""reason"": ""Pattern match from fetch_metric_series.csv; shared tokens: containers, cpu""}]",Low-confidence candidate retained for review but not selected as mapped_metric
Containers: CPU logical cores,dt.containers.cpu.logical_cores,medium,86,suffix_or_prefix,Normalized Classic and Gen3 keys have suffix/prefix containment,2,"[{""sort_index"": null, ""score"": 86, ""gen3_metric"": ""dt.containers.cpu.logical_cores"", ""method"": ""suffix_or_prefix"", ""reason"": ""Normalized Classic and Gen3 keys have suffix/prefix containment""}, {""sort_index"": null, ""score"": 73, ""gen3_metric"": ""dt.containers.cpu.shares"", ""method"": ""pattern"", ""reason"": ""Pattern match from fetch_metric_series.csv; shared tokens: containers, cpu""}]",
Containers: CPU shares,dt.containers.cpu.shares,medium,86,suffix_or_prefix,Normalized Classic and Gen3 keys have suffix/prefix containment,5,"[{""sort_index"": null, ""score"": 86, ""gen3_metric"": ""dt.containers.cpu.shares"", ""method"": ""suffix_or_prefix"", ""reason"": ""Normalized Classic and Gen3 keys have suffix/prefix containment""}, {""sort_index"": null, ""score"": 73, ""gen3_metric"": ""dt.containers.cpu.logical_cores"", ""method"": ""pattern"", ""reason"": ""Pattern match from fetch_metric_series.csv; shared tokens: containers, cpu""}, {""sort_index"": null, ""score"": 70, ""gen3_metric"": ""dt.containers.cpu.usage_user_time"", ""method"": ""pattern"", ""reason"": ""Pattern match from fetch_metric_series.csv; shared tokens: containers, cpu""}, {""sort_index"": null, ""score"": 68, ""gen3_metric"": ""dt.containers.cpu.throttled_time"", ""method"": ""pattern"", ""reason"": ""Pattern match from fetch_metric_series.csv; shared tokens: containers, cpu""}, {""sort_index"": null, ""score"": 68, ""gen3_metric"": ""dt.containers.cpu.usage_system_time"", ""method"": ""pattern"", ""reason"": ""Pattern match from fetch_metric_series.csv; shared tokens: containers, cpu""}]",
"Containers: CPU system usage time, ns/min",,low,70,pattern,"Pattern match from fetch_metric_series.csv; shared tokens: containers, cpu, system, time, usage",2,"[{""sort_index"": null, ""score"": 70, ""gen3_metric"": ""dt.containers.cpu.usage_system_time"", ""method"": ""pattern"", ""reason"": ""Pattern match from fetch_metric_series.csv; shared tokens: containers, cpu, system, time, usage""}, {""sort_index"": null, ""score"": 69, ""gen3_metric"": ""dt.containers.cpu.usage_user_time"", ""method"": ""pattern"", ""reason"": ""Pattern match from fetch_metric_series.csv; shared tokens: containers, cpu, time, usage""}]",Low-confidence candidate retained for review but not selected as mapped_metric
"Containers: CPU system usage, mCores",,low,69,pattern,"Pattern match from fetch_metric_series.csv; shared tokens: containers, cpu",4,"[{""sort_index"": null, ""score"": 69, ""gen3_metric"": ""dt.containers.cpu.shares"", ""method"": ""pattern"", ""reason"": ""Pattern match from fetch_metric_series.csv; shared tokens: containers, cpu""}, {""sort_index"": null, ""score"": 69, ""gen3_metric"": ""dt.containers.cpu.usage_user_time"", ""method"": ""pattern"", ""reason"": ""Pattern match from fetch_metric_series.csv; shared tokens: containers, cpu, usage""}, {""sort_index"": null, ""score"": 67, ""gen3_metric"": ""dt.containers.cpu.usage_system_time"", ""method"": ""pattern"", ""reason"": ""Pattern match from fetch_metric_series.csv; shared tokens: containers, cpu, system, usage""}, {""sort_index"": null, ""score"": 65, ""gen3_metric"": ""dt.containers.cpu.logical_cores"", ""method"": ""pattern"", ""reason"": ""Pattern match from fetch_metric_series.csv; shared tokens: containers, cpu""}]",Low-confidence candidate retained for review but not selected as mapped_metric
"Containers: CPU throttled time, ns/min",dt.containers.cpu.throttled_time,medium,85,pattern,"Pattern match from fetch_metric_series.csv; shared tokens: containers, cpu, throttled, time",2,"[{""sort_index"": null, ""score"": 85, ""gen3_metric"": ""dt.containers.cpu.throttled_time"", ""method"": ""pattern"", ""reason"": ""Pattern match from fetch_metric_series.csv; shared tokens: containers, cpu, throttled, time""}, {""sort_index"": null, ""score"": 71, ""gen3_metric"": ""dt.containers.cpu.throttling_ratio"", ""method"": ""pattern"", ""reason"": ""Pattern match from fetch_metric_series.csv; shared tokens: containers, cpu""}]",
"Containers: CPU throttling, mCores",dt.containers.cpu.throttling_ratio,medium,82,pattern,"Pattern match from fetch_metric_series.csv; shared tokens: containers, cpu, throttling",4,"[{""sort_index"": null, ""score"": 82, ""gen3_metric"": ""dt.containers.cpu.throttling_ratio"", ""method"": ""pattern"", ""reason"": ""Pattern match from fetch_metric_series.csv; shared tokens: containers, cpu, throttling""}, {""sort_index"": null, ""score"": 78, ""gen3_metric"": ""dt.containers.cpu.throttled_time"", ""method"": ""pattern"", ""reason"": ""Pattern match from fetch_metric_series.csv; shared tokens: containers, cpu""}, {""sort_index"": null, ""score"": 73, ""gen3_metric"": ""dt.containers.cpu.logical_cores"", ""method"": ""pattern"", ""reason"": ""Pattern match from fetch_metric_series.csv; shared tokens: containers, cpu""}, {""sort_index"": null, ""score"": 68, ""gen3_metric"": ""dt.containers.cpu.shares"", ""method"": ""pattern"", ""reason"": ""Pattern match from fetch_metric_series.csv; shared tokens: containers, cpu""}]",
"Containers: CPU usage time, ns/min",,low,77,pattern,"Pattern match from fetch_metric_series.csv; shared tokens: containers, cpu, time, usage",4,"[{""sort_index"": null, ""score"": 77, ""gen3_metric"": ""dt.containers.cpu.usage_user_time"", ""method"": ""pattern"", ""reason"": ""Pattern match from fetch_metric_series.csv; shared tokens: containers, cpu, time, usage""}, {""sort_index"": null, ""score"": 75, ""gen3_metric"": ""dt.containers.cpu.usage_system_time"", ""method"": ""pattern"", ""reason"": ""Pattern match from fetch_metric_series.csv; shared tokens: containers, cpu, time, usage""}, {""sort_index"": null, ""score"": 68, ""gen3_metric"": ""dt.containers.cpu.shares"", ""method"": ""pattern"", ""reason"": ""Pattern match from fetch_metric_series.csv; shared tokens: containers, cpu""}, {""sort_index"": null, ""score"": 66, ""gen3_metric"": ""dt.containers.cpu.throttled_time"", ""method"": ""pattern"", ""reason"": ""Pattern match from fetch_metric_series.csv; shared tokens: containers, cpu, time""}]",Low-confidence candidate retained for review but not selected as mapped_metric
"Containers: CPU usage, % of limit",,low,77,pattern,"Pattern match from fetch_metric_series.csv; shared tokens: containers, cpu, usage",3,"[{""sort_index"": null, ""score"": 77, ""gen3_metric"": ""dt.containers.cpu.usage_user_time"", ""method"": ""pattern"", ""reason"": ""Pattern match from fetch_metric_series.csv; shared tokens: containers, cpu, usage""}, {""sort_index"": null, ""score"": 75, ""gen3_metric"": ""dt.containers.cpu.usage_system_time"", ""method"": ""pattern"", ""reason"": ""Pattern match from fetch_metric_series.csv; shared tokens: containers, cpu, usage""}, {""sort_index"": null, ""score"": 68, ""gen3_metric"": ""dt.containers.cpu.shares"", ""method"": ""pattern"", ""reason"": ""Pattern match from fetch_metric_series.csv; shared tokens: containers, cpu""}]",Low-confidence candidate retained for review but not selected as mapped_metric
